proyecto,tipo_obra,fase,actividad,material,cantidad_material,costo_unitario,costo_material,horas_trabajadas,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,duracion_estimada,duracion_real,retraso_dias,ciudad,clima
Proyecto_2,Residencial,Instalaciones,Encofrado,Arena,47,15192,714024,147,2786385,3500409,4898557,1398148,39.94241815742103,5,2,-3,Cali,Soleado
Proyecto_15,Industrial,Cimentación,Vaciado concreto,Arena,264,55413,14629032,156,1640496,16269528,15011427,-1258101,-7.732867234992927,15,24,9,Barranquilla,Nublado
Proyecto_2,Residencial,Cimentación,Vaciado concreto,Cemento,362,43878,15883836,151,2132271,18016107,24879468,6863361,38.09569403645305,27,33,6,Bogotá,Lluvia
Proyecto_18,Comercial,Instalaciones,Encofrado,Cemento,125,10431,1303875,131,1119002,2422877,2800456,377579,15.583911193180668,11,13,2,Medellín,Soleado
Proyecto_5,Comercial,Instalaciones,Instalación eléctrica,Acero,36,11844,426384,90,960210,1386594,1137704,-248890,-17.949738712269056,23,20,-3,Medellín,Soleado
Proyecto_20,Industrial,Cimentación,Excavación,Acero,32,58835,1882720,136,2379320,4262040,3715195,-546845,-12.830592861634335,10,16,6,Cali,Lluvia
Proyecto_2,Comercial,Estructura,Pintura,Cemento,465,10243,4762995,102,939828,5702823,6956617,1253794,21.98549735806284,29,33,4,Bogotá,Lluvia
Proyecto_12,Residencial,Instalaciones,Encofrado,Grava,471,39236,18480156,12,144708,18624864,21454595,2829731,15.193297518843627,12,17,5,Barranquilla,Lluvia
Proyecto_11,Residencial,Cimentación,Excavación,Grava,462,75805,35021910,20,288460,35310370,42871123,7560753,21.412273504922208,12,18,6,Medellín,Nublado
Proyecto_8,Industrial,Acabados,Excavación,Arena,70,59304,4151280,92,1194068,5345348,6270186,924838,17.301736014194024,17,26,9,Cali,Nublado
Proyecto_11,Residencial,Acabados,Excavación,Arena,208,57810,12024480,81,1491696,13516176,13256885,-259291,-1.918375433998492,10,8,-2,Cali,Lluvia
Proyecto_8,Residencial,Estructura,Pintura,Arena,191,44644,8527004,20,305280,8832284,8491363,-340921,-3.859941550792524,29,35,6,Medellín,Nublado
Proyecto_16,Residencial,Instalaciones,Vaciado concreto,Acero,151,54244,8190844,126,2142378,10333222,9694811,-638411,-6.1782375332689075,29,37,8,Barranquilla,Lluvia
Proyecto_18,Comercial,Instalaciones,Excavación,Cemento,335,61620,20642700,111,1199688,21842388,17844879,-3997509,-18.301611527091268,18,26,8,Bogotá,Nublado
Proyecto_4,Comercial,Estructura,Vaciado concreto,Acero,55,30931,1701205,126,2467836,4169041,4380644,211603,5.075579731645719,5,13,8,Bogotá,Soleado
Proyecto_1,Residencial,Cimentación,Instalación eléctrica,Arena,320,40775,13048000,41,371132,13419132,11969907,-1449225,-10.799692558356233,13,13,0,Bogotá,Soleado
Proyecto_15,Industrial,Instalaciones,Pintura,Grava,221,69416,15340936,123,2366766,17707702,17999681,291979,1.6488813737660595,20,28,8,Barranquilla,Nublado
Proyecto_16,Comercial,Instalaciones,Vaciado concreto,Cemento,110,36400,4004000,157,1648343,5652343,5053617,-598726,-10.59252773584335,10,13,3,Cali,Nublado
Proyecto_8,Comercial,Cimentación,Vaciado concreto,Acero,204,21992,4486368,168,2515968,7002336,8733318,1730982,24.72006484693108,19,17,-2,Medellín,Nublado
Proyecto_1,Industrial,Instalaciones,Excavación,Ladrillo,163,29686,4838818,58,504020,5342838,4579798,-763040,-14.281548495387659,14,17,3,Medellín,Soleado
Proyecto_15,Residencial,Instalaciones,Excavación,Cemento,230,64127,14749210,148,1505308,16254518,18101713,1847195,11.364194250484697,19,21,2,Bogotá,Nublado
Proyecto_19,Industrial,Estructura,Encofrado,Ladrillo,64,58079,3717056,81,1520046,5237102,5938831,701729,13.39918527460416,26,27,1,Cali,Soleado
Proyecto_12,Residencial,Acabados,Pintura,Cemento,22,47240,1039280,69,1110210,2149490,1764534,-384956,-17.90917845628498,28,32,4,Medellín,Lluvia
Proyecto_19,Industrial,Cimentación,Instalación eléctrica,Grava,236,28603,6750308,164,3149620,9899928,9892385,-7543,-0.07619247331899788,16,14,-2,Cali,Soleado
Proyecto_7,Comercial,Cimentación,Instalación eléctrica,Acero,160,56723,9075680,80,1347520,10423200,10504220,81020,0.7773044746335098,24,21,-3,Bogotá,Lluvia
Proyecto_13,Industrial,Acabados,Pintura,Arena,361,45721,16505281,179,3160603,19665884,22551150,2885266,14.671427940895004,27,28,1,Bogotá,Soleado
