proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada
8,Mall Gran Avenida,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,12,120000,1440000,11,11,11,0,120000,1320000,1320000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-06,2025-01-16,5,10
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Acueducto,Punto agua,Punto,19,140000,2660000,17,19,17,-2,120000,2280000,2040000,240000,10.526315789473683,Bogotá,Soleado,Ahorro,2025-01-09,2025-02-22,8,44
5,Residencial Jardines del Sur,Residencial,Acabados,Cielorraso,Drywall,Lámina,12,40000,480000,13,13,13,0,100000,1300000,1300000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-04,2025-03-06,3,61
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Enchape,Cerámica,m2,19,50000,950000,15,17,15,-2,105000,1785000,1575000,210000,11.76470588235294,Bogotá,Soleado,Ahorro,2025-01-04,2025-02-15,3,42
3,Residencial Altos del Norte,Residencial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,25,32,25,-7,130000,4160000,3250000,910000,21.875,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-01,6,25
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,85,4500,382500,15,14,15,1,130000,1820000,1950000,-130000,-7.142857142857142,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-03-11,9,60
0,Conjunto Residencial Marsella,Residencial,Estructura,Armado,Acero,Kg,93,4500,418500,25,32,25,-7,130000,4160000,3250000,910000,21.875,Bogotá,Nublado,Ahorro,2025-01-01,2025-03-16,0,74
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,26,28,2,130000,3380000,3640000,-260000,-7.6923076923076925,Bogotá,Lluvia,Sobrecosto,2025-01-07,2025-03-11,6,63
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,25,28,3,130000,3250000,3640000,-390000,-12.0,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-03-14,8,64
1,Urbanización Los Almendros,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,9,150000,1350000,14,17,14,-3,120000,2040000,1680000,360000,17.647058823529413,Bogotá,Soleado,Ahorro,2025-01-03,2025-03-09,2,65
5,Residencial Jardines del Sur,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,16,19,16,-3,120000,2280000,1920000,360000,15.789473684210526,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-14,6,38
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,19,200000,3800000,7,7,7,0,110000,770000,770000,0,0.0,Bogotá,Nublado,En presupuesto,2025-01-01,2025-02-08,0,38
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,9,250000,2250000,6,6,6,0,95000,570000,570000,0,0.0,Bogotá,Soleado,En presupuesto,2025-01-02,2025-01-27,1,25
8,Mall Gran Avenida,Comercial,Acabados,Cielorraso,Drywall,Lámina,10,40000,400000,16,20,16,-4,100000,2000000,1600000,400000,20.0,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-18,10,7
6,Centro Comercial Plaza Central,Comercial,Acabados,Pintura,Pintura,Galón,6,90000,540000,19,17,19,2,90000,1530000,1710000,-180000,-11.76470588235294,Bogotá,Lluvia,Sobrecosto,2025-01-08,2025-02-20,7,43
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,20,200000,4000000,13,14,13,-1,110000,1540000,1430000,110000,7.142857142857142,Bogotá,Nublado,Ahorro,2025-01-08,2025-02-18,7,41
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,11,200000,2200000,13,14,13,-1,110000,1540000,1430000,110000,7.142857142857142,Bogotá,Soleado,Ahorro,2025-01-12,2025-02-21,11,40
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,96,4500,432000,15,16,15,-1,130000,2080000,1950000,130000,6.25,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-13,6,37
6,Centro Comercial Plaza Central,Comercial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,29,36,29,-7,130000,4680000,3770000,910000,19.444444444444446,Bogotá,Soleado,Ahorro,2025-01-12,2025-03-02,11,49
3,Residencial Altos del Norte,Residencial,Acabados,Cielorraso,Drywall,Lámina,19,40000,760000,15,13,15,2,100000,1300000,1500000,-200000,-15.384615384615383,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-02-03,9,24
4,Conjunto Horizonte Verde,Residencial,Acabados,Cielorraso,Drywall,Lámina,25,40000,1000000,10,12,10,-2,100000,1200000,1000000,200000,16.666666666666664,Bogotá,Soleado,Ahorro,2025-01-10,2025-01-18,9,8
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,17,15,17,2,130000,1950000,2210000,-260000,-13.333333333333334,Bogotá,Lluvia,Sobrecosto,2025-01-04,2025-02-13,3,40
