proyecto,nombre_proyecto,tipo_proyecto,fase,actividad,material,unidad_medida,cantidad_material,costo_unitario,costo_material,dias_trabajados,duracion_estimada,duracion_real,retraso_dias,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,ciudad,clima,estado_costo,fecha_inicio,fecha_fin,offset_inicio,duracion_calculada,costo_total
8,Mall Gran Avenida,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,12,120000,1440000,11,11,11,0,120000.0,1320000.0,1320000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-06,2025-01-16,5,10,1560000.0
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Acueducto,Punto agua,Punto,19,140000,2660000,17,19,17,-2,120000.0,2280000.0,2040000.0,240000.0,-11.0,Bogotá,Soleado,Ahorro,2025-01-09,2025-02-22,8,44,2780000.0
5,Residencial Jardines del Sur,Residencial,Acabados,Cielorraso,Drywall,Lámina,12,40000,480000,13,13,13,0,100000.0,1300000.0,1300000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-04,2025-03-06,3,61,580000.0
7,Edificio Corporativo Torre Norte,Comercial,Acabados,Enchape,Cerámica,m2,19,50000,950000,15,17,15,-2,105000.0,1785000.0,1575000.0,210000.0,-12.0,Bogotá,Soleado,Ahorro,2025-01-04,2025-02-15,3,42,1055000.0
3,Residencial Altos del Norte,Residencial,Estructura,Vaciado,Concreto,m3,8,350000,2800000,25,32,25,-7,130000.0,4160000.0,3250000.0,910000.0,-22.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-01,6,25,2930000.0
5,Residencial Jardines del Sur,Residencial,Estructura,Armado,Acero,Kg,85,4500,382500,15,14,15,1,130000.0,1820000.0,1950000.0,-130000.0,7.0,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-03-11,9,60,512500.0
0,Conjunto Residencial Marsella,Residencial,Estructura,Armado,Acero,Kg,93,4500,418500,25,32,25,-7,130000.0,4160000.0,3250000.0,910000.0,-22.0,Bogotá,Nublado,Ahorro,2025-01-01,2025-03-16,0,74,548500.0
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,26,28,2,130000.0,3380000.0,3640000.0,-260000.0,8.0,Bogotá,Lluvia,Sobrecosto,2025-01-07,2025-03-11,6,63,2930000.0
9,Centro Empresarial Nova,Comercial,Cimentación,Vaciado,Concreto,m3,8,350000,2800000,28,25,28,3,130000.0,3250000.0,3640000.0,-390000.0,12.0,Bogotá,Lluvia,Sobrecosto,2025-01-09,2025-03-14,8,64,2930000.0
1,Urbanización Los Almendros,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,9,150000,1350000,14,17,14,-3,120000.0,2040000.0,1680000.0,360000.0,-18.0,Bogotá,Soleado,Ahorro,2025-01-03,2025-03-09,2,65,1470000.0
5,Residencial Jardines del Sur,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,18,150000,2700000,16,19,16,-3,120000.0,2280000.0,1920000.0,360000.0,-16.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-14,6,38,2820000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación closet,MDF,Unidad,19,200000,3800000,7,7,7,0,110000.0,770000.0,770000.0,0.0,0.0,Bogotá,Nublado,En presupuesto,2025-01-01,2025-02-08,0,38,3910000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Lavadero,Lavadero,Unidad,9,250000,2250000,6,6,6,0,95000.0,570000.0,570000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-02,2025-01-27,1,25,2345000.0
8,Mall Gran Avenida,Comercial,Acabados,Cielorraso,Drywall,Lámina,10,40000,400000,16,20,16,-4,100000.0,2000000.0,1600000.0,400000.0,-20.0,Bogotá,Soleado,Ahorro,2025-01-11,2025-01-18,10,7,500000.0
6,Centro Comercial Plaza Central,Comercial,Acabados,Pintura,Pintura,Galón,6,90000,540000,19,17,19,2,90000.0,1530000.0,1710000.0,-180000.0,12.0,Bogotá,Lluvia,Sobrecosto,2025-01-08,2025-02-20,7,43,630000.0
3,Residencial Altos del Norte,Residencial,Equipamiento,Instalación cocina,MDF,Unidad,20,200000,4000000,13,14,13,-1,110000.0,1540000.0,1430000.0,110000.0,-7.0,Bogotá,Nublado,Ahorro,2025-01-08,2025-02-18,7,41,4110000.0
6,Centro Comercial Plaza Central,Comercial,Equipamiento,Instalación cocina,MDF,Unidad,11,200000,2200000,13,14,13,-1,110000.0,1540000.0,1430000.0,110000.0,-7.0,Bogotá,Soleado,Ahorro,2025-01-12,2025-02-21,11,40,2310000.0
0,Conjunto Residencial Marsella,Residencial,Cimentación,Armado,Acero,Kg,96,4500,432000,15,16,15,-1,130000.0,2080000.0,1950000.0,130000.0,-6.0,Bogotá,Soleado,Ahorro,2025-01-07,2025-02-13,6,37,562000.0
6,Centro Comercial Plaza Central,Comercial,Cimentación,Vaciado,Concreto,m3,10,350000,3500000,29,36,29,-7,130000.0,4680000.0,3770000.0,910000.0,-19.0,Bogotá,Soleado,Ahorro,2025-01-12,2025-03-02,11,49,3630000.0
3,Residencial Altos del Norte,Residencial,Acabados,Cielorraso,Drywall,Lámina,19,40000,760000,15,13,15,2,100000.0,1300000.0,1500000.0,-200000.0,15.0,Bogotá,Lluvia,Sobrecosto,2025-01-10,2025-02-03,9,24,860000.0
4,Conjunto Horizonte Verde,Residencial,Acabados,Cielorraso,Drywall,Lámina,25,40000,1000000,10,12,10,-2,100000.0,1200000.0,1000000.0,200000.0,-17.0,Bogotá,Soleado,Ahorro,2025-01-10,2025-01-18,9,8,1100000.0
0,Conjunto Residencial Marsella,Residencial,Cimentación,Vaciado,Concreto,m3,15,350000,5250000,17,15,17,2,130000.0,1950000.0,2210000.0,-260000.0,13.0,Bogotá,Lluvia,Sobrecosto,2025-01-04,2025-02-13,3,40,5380000.0
8,Mall Gran Avenida,Comercial,Cimentación,Armado,Acero,Kg,99,4500,445500,21,24,21,-3,130000.0,3120000.0,2730000.0,390000.0,-13.0,Bogotá,Soleado,Ahorro,2025-01-05,2025-03-11,4,65,575500.0
4,Conjunto Horizonte Verde,Residencial,Instalaciones,Sanitaria,Punto sanitario,Punto,17,150000,2550000,19,23,19,-4,120000.0,2760000.0,2280000.0,480000.0,-17.0,Bogotá,Nublado,Ahorro,2025-01-04,2025-03-03,3,58,2670000.0
7,Edificio Corporativo Torre Norte,Comercial,Instalaciones,Eléctrica,Punto eléctrico,Punto,19,120000,2280000,16,18,16,-2,120000.0,2160000.0,1920000.0,240000.0,-11.0,Bogotá,Soleado,Ahorro,2025-01-09,2025-03-17,8,67,2400000.0
4,Conjunto Horizonte Verde,Residencial,Equipamiento,Accesorios baño,Juego sanitario,Unidad,8,300000,2400000,5,5,5,0,100000.0,500000.0,500000.0,0.0,0.0,Bogotá,Soleado,En presupuesto,2025-01-03,2025-01-19,2,16,2500000.0
