proyecto,tipo_obra,fase,actividad,material,cantidad_material,costo_unitario,costo_material,horas_trabajadas,costo_mano_obra,costo_estimado,costo_real,diferencia_costo,porcentaje_desviacion,duracion_estimada,duracion_real,retraso_dias,ciudad,clima
Proyecto_32,Comercial,Instalaciones,Sanitaria,Tubo 2in,,80391,723519,,1125608,1924844.7803292219,1849127,,,,,,Bogotá,
Proyecto_32,Comercial,Instalaciones,Sanitaria,Tubo 4in,,37621,75242,,1125608,1158851.5496641502,1200850,,,,,,Bogotá,
Proyecto_12,Infraestructura,Acabados,Pintura,Pintura,,66708,1467576,,1477625,3102284.868469649,2945201,,,,,,Bogotá,
Proyecto_12,Infraestructura,Acabados,Pintura,Estuco,,54754,2025898,,1477625,3216658.520544699,3503523,,,,,,Bogotá,
Proyecto_26,Comercial,Estructura,Encofrado,Madera,,172952,1556568,,707744,2479402.54978076,2264312,,,,,,Bogotá,
Proyecto_21,Infraestructura,Estructura,Acero,Acero,,170404,3067272,,1733961,4851414.869790026,4801233,,,,,,Bogotá,
Proyecto_20,Infraestructura,Estructura,Acero,Acero,,189601,1706409,,2178911,3620027.358716497,3885320,,,,,,Bogotá,
Proyecto_20,Infraestructura,Cimentación,Excavación,Arena,,94255,3958710,,2927616,6556692.562995664,6886326,,,,,,Bogotá,
Proyecto_20,Infraestructura,Cimentación,Excavación,Grava,,146462,6297866,,2927616,9391817.463869464,9225482,,,,,,Bogotá,
Proyecto_7,Comercial,Instalaciones,Eléctrica,Cable,,186307,2235684,,2049820,4324903.552396083,4285504,,,,,,Bogotá,
Proyecto_7,Comercial,Instalaciones,Eléctrica,Tubería eléctrica,,28816,1152640,,2049820,3439263.8024206785,3202460,,,,,,Bogotá,
Proyecto_5,Comercial,Equipamiento,Cocina,Madera,,106385,3829860,,1176191,4549232.806144943,5006051,,,,,,Bogotá,
Proyecto_5,Comercial,Equipamiento,Cocina,Accesorios cocina,,22884,709404,,1176191,2060128.1671611723,1885595,,,,,,Bogotá,
Proyecto_12,Infraestructura,Acabados,Pintura,Pintura,,138012,2622228,,2110150,4906795.713508206,4732378,,,,,,Bogotá,
Proyecto_12,Infraestructura,Acabados,Pintura,Estuco,,183639,4590975,,2110150,6635871.274211383,6701125,,,,,,Bogotá,
Proyecto_29,Infraestructura,Equipamiento,Cocina,Madera,,157911,789555,,1149898,1944523.8863873058,1939453,,,,,,Bogotá,
Proyecto_29,Infraestructura,Equipamiento,Cocina,Accesorios cocina,,47728,1097744,,1149898,2305991.7963876873,2247642,,,,,,Bogotá,
Proyecto_34,Infraestructura,Cimentación,Excavación,Arena,,71231,356155,,2222496,2756038.0869550323,2578651,,,,,,Bogotá,
